     Orientation no.            sigma (A)       epsilon (cm-1)
                 245                 4.01               58.557
                 246                 3.65               53.325
                 247                 3.92               61.286
                 248                 3.74               58.137
                 249                 3.65               63.389
                 250                 4.10               56.451
                 251                 3.56               67.903
                 252                 3.65               56.734
                 253                 3.92               61.146
                 254                 3.56               53.670
                 255                 4.01               59.389
                 256                 3.47               60.881
                 257                 3.47               74.323
                 258                 4.01               57.193
                 259                 3.65               53.845
                 260                 3.83               61.183
                 261                 3.83               60.940
                 262                 3.74               54.423
                 263                 4.01               57.118
                 264                 3.47               74.766
                 265                 3.47               60.561
                 266                 4.01               59.638
                 267                 3.65               53.454
                 268                 3.92               61.304
                 269                 3.65               56.838
                 270                 3.56               68.081
                 271                 4.10               56.542
                 272                 3.65               61.025
                 273                 3.74               58.842
                 274                 3.83               62.041
                 275                 3.65               49.981
                 276                 4.01               58.792
                 277                 3.39               72.640
                 278                 3.39               75.349
                 279                 4.01               58.459
                 280                 3.74               50.106
                 281                 3.83               62.275
                 282                 3.74               59.867
                 283                 3.74               58.318
                 284                 4.01               56.908
                 285                 3.56               70.192
                 286                 3.56               57.677
                 287                 3.92               61.362
                 288                 3.65               52.633
                 289                 3.92               60.814
                 290                 3.47               60.269
                 291                 3.56               73.007
                 292                 4.01               57.381
                 293                 3.74               54.461
                 294                 3.74               61.162
                 295                 3.83               62.165
                 296                 3.74               49.724
                 297                 4.01               58.231
                 298                 3.39               76.892
                 299                 3.39               70.584
                 300                 3.92               59.674
                 301                 3.74               48.744
                 302                 3.83               62.543
                 303                 3.65               58.310
                 304                 3.74               62.747
                 305                 4.01               57.125
                 306                 3.74               62.848
                 307                 3.65               58.300
                 308                 3.83               62.702
                 309                 3.74               48.239
                 310                 3.92               60.026
                 311                 3.30               71.884
                 312                 3.47               77.374
                 313                 4.01               58.451
                 314                 3.83               48.750
                 315                 3.74               62.804
                 316                 3.74               61.628
                 317                 3.83               53.012
                 318                 4.01               57.885
                 319                 3.56               72.946
                 320                 3.39               63.595
                 321                 3.92               61.482
                 322                 3.74               49.161
                 323                 3.83               62.070
                 324                 3.47               59.679
                 325                 3.65               68.534
                 326                 4.01               57.728
                 327                 3.83               56.068
                 328                 3.65               60.677
                 329                 3.74               63.372
                 330                 3.83               45.924
                 331                 3.92               59.204
                 332                 3.39               79.548
                 333                 3.39               78.655
                 334                 3.92               59.803
                 335                 3.83               45.109
                 336                 3.83               63.493
                 337                 3.65               60.130
                 338                 3.83               57.657
                 339                 4.01               57.867
                 340                 3.74               65.241
                 341                 3.47               59.497
                 342                 3.83               63.191
                 343                 3.74               46.693
                 344                 3.92               61.604
                 345                 3.30               69.909
                 346                 3.56               74.287
                 347                 4.01               58.549
                 348                 3.92               49.101
                 349                 3.74               62.807
                 350                 3.74               63.303
                 351                 3.92               47.746
                 352                 4.01               58.770
                 353                 3.56               75.215
                 354                 3.30               74.122
                 355                 3.92               61.562
                 356                 3.83               44.333
                 357                 3.83               63.816
                 358                 3.47               59.713
                 359                 3.74               62.672
                 360                 4.01               58.188
                 361                 3.83               58.344
                 362                 3.56               60.227
                 363                 3.74               64.399
                 364                 3.83               42.608
                 365                 3.92               61.007
                 366                 3.30               80.223
                 367                 3.47               78.966
                 368                 3.92               60.043
                 369                 3.92               43.829
                 370                 3.74               64.592
                 371                 3.65               62.180
                 372                 3.92               52.558
                 373                 4.01               58.598
                 374                 3.65               67.708
                 375                 3.39               64.961
                 376                 3.83               63.557
                 377                 3.83               44.333
                 378                 3.83               63.484
                 379                 3.30               66.594
                 380                 3.65               68.441
                 381                 3.92               58.869
                 382                 3.92               51.492
                 383                 3.65               62.668
                 384                 3.74               64.796
                 385                 3.92               43.221
                 386                 3.92               60.450
                 387                 3.47               78.827
                 388                 3.30               81.376
                 389                 3.92               61.654
                 390                 3.92               40.416
                 391                 3.74               65.375
                 392                 3.56               60.721
                 393                 3.92               57.301
                 394                 3.92               58.889
                 395                 3.83               60.882
                 396                 3.47               61.050
                 397                 3.74               65.222
                 398                 3.83               40.376
                 399                 3.83               62.759
                 400                 3.30               79.474
                 401                 3.56               75.118
                 402                 3.92               60.415
                 403                 4.01               44.600
                 404                 3.65               65.124
                 405                 3.65               64.279
                 406                 4.01               47.386
                 407                 3.92               60.150
                 408                 3.65               71.215
                 409                 3.30               75.218
                 410                 3.83               63.867
                 411                 3.83               40.853
                 412                 3.74               65.238
                 413                 3.39               63.804
                 414                 3.83               63.108
                 415                 3.92               59.769
                 416                 3.92               53.708
                 417                 3.56               62.248
                 418                 3.65               66.179
                 419                 4.01               38.623
                 420                 3.83               61.956
                 421                 3.39               81.753
                 422                 3.39               81.013
                 423                 3.83               61.886
                 424                 4.01               38.981
                 425                 3.65               66.535
                 426                 3.56               62.733
                 427                 4.01               52.573
                 428                 3.92               60.240
                 429                 3.83               63.401
                 430                 3.30               66.046
                 431                 3.74               65.890
                 432                 3.92               38.798
                 433                 3.83               64.652
                 434                 3.21               76.054
                 435                 3.65               68.762
                 436                 3.92               60.911
                 437                 4.01               47.214
                 438                 3.56               65.049
                 439                 3.65               66.265
                 440                 4.01               42.471
                 441                 3.92               61.525
                 442                 3.56               74.629
                 443                 3.30               82.723
                 444                 3.83               64.182
                 445                 3.92               36.671
                 446                 3.74               66.946
                 447                 3.39               62.956
                 448                 3.92               58.400
                 449                 3.92               60.731
                 450                 3.92               56.512
                 451                 3.39               62.582
                 452                 3.65               67.410
                 453                 4.01               35.495
                 454                 3.83               64.196
                 455                 3.30               83.620
                 456                 3.56               75.821
                 457                 3.83               62.534
                 458                 4.10               39.755
                 459                 3.65               67.173
                 460                 3.56               65.100
                 461                 4.01               47.602
                 462                 3.92               61.444
                 463                 3.74               66.406
                 464                 3.21               75.706
                 465                 3.74               66.475
                 466                 3.92               36.866
                 467                 3.74               66.994
                 468                 3.21               71.406
                 469                 3.83               63.832
                 470                 3.92               61.497
                 471                 4.01               49.694
                 472                 3.47               64.616
                 473                 3.65               68.031
                 474                 4.10               37.271
                 475                 3.83               63.738
                 476                 3.47               78.323
                 477                 3.39               82.399
                 478                 3.83               64.554
                 479                 4.01               34.620
                 480                 3.65               68.706
                 481                 3.39               63.619
                 482                 4.01               53.794
                 483                 3.83               61.853
                 484                 3.92               59.493
                 485                 3.30               66.451
                 486                 3.65               68.449
                 487                 4.01               33.163
                 488                 3.74               66.528
                 489                 3.21               83.146
                 490                 3.65               69.974
                 491                 3.83               63.336
                 492                 4.10               43.094
                 493                 3.56               67.565
                 494                 3.56               67.541
                 495                 4.10               43.164
                 496                 3.83               63.527
                 497                 3.65               69.364
                 498                 3.21               83.446
                 499                 3.74               67.047
                 500                 4.01               32.435
                 501                 3.65               69.161
                 502                 3.30               67.400
                 503                 3.92               59.045
                 504                 3.83               62.909
                 505                 4.01               52.719
                 506                 3.39               64.668
                 507                 3.56               69.652
                 508                 4.10               32.696
                 509                 3.74               65.898
                 510                 3.39               81.955
                 511                 3.47               77.282
                 512                 3.83               65.011
                 513                 4.10               35.713
                 514                 3.56               69.909
                 515                 3.47               65.876
                 516                 4.10               49.175
                 517                 3.83               63.717
                 518                 3.83               61.783
                 519                 3.21               74.802
                 520                 3.65               69.367
                 521                 4.01               31.224
                 522                 3.65               68.802
                 523                 3.21               79.660
                 524                 3.83               64.376
                 525                 3.83               64.255
                 526                 4.10               46.149
                 527                 3.47               67.332
                 528                 3.56               69.849
                 529                 4.10               37.276
                 530                 3.74               65.455
                 531                 3.56               73.224
                 532                 3.30               83.895
                 533                 3.74               67.668
                 534                 4.10               29.711
                 535                 3.56               70.980
                 536                 3.30               66.019
                 537                 4.01               54.478
                 538                 3.83               64.328
                 539                 4.01               55.846
                 540                 3.30               66.878
                 541                 3.56               71.139
                 542                 5.79               28.969
                 543                 3.74               68.308
                 544                 3.30               84.399
                 545                 3.65               71.076
                 546                 3.74               66.112
                 547                 4.19               38.251
                 548                 3.47               70.371
                 549                 3.47               68.594
                 550                 4.19               43.737
                 551                 3.74               65.476
                 552                 3.83               64.475
                 553                 3.21               82.792
                 554                 3.65               70.241
                 555                 5.79               29.287
                 556                 3.65               71.194
                 557                 3.21               74.185
                 558                 3.92               59.850
                 559                 3.74               65.324
                 560                 4.10               49.356
                 561                 3.39               66.989
                 562                 3.56               71.913
                 563                 4.19               31.465
                 564                 3.74               68.070
                 565                 3.47               77.553
                 566                 3.47               78.369
                 567                 3.74               68.377
                 568                 4.10               30.115
                 569                 3.56               72.352
                 570                 3.39               66.874
                 571                 4.10               50.179
                 572                 3.74               66.092
                 573                 3.92               57.873
                 574                 3.21               73.132
                 575                 3.56               72.459
                 576                 5.79               29.327
                 577                 3.65               71.182
                 578                 3.21               84.455
                 579                 3.74               65.129
                 580                 3.74               67.358
                 581                 4.19               42.105
                 582                 3.39               70.061
                 583                 3.47               71.397
                 584                 4.19               38.630
                 585                 3.74               68.018
                 586                 3.65               67.996
                 587                 3.21               84.434
                 588                 3.65               71.142
                 589                 5.79               29.214
                 590                 3.56               73.614
                 591                 3.21               70.103
                 592                 4.01               55.366
                 593                 3.74               67.241
                 594                 4.10               52.319
                 595                 3.30               67.804
                 596                 3.47               73.793
                 597                 5.79               28.935
                 598                 3.65               70.884
                 599                 3.39               81.162
                 600                 3.56               72.430
                 601                 3.65               69.283
                 602                 4.19               33.537
                 603                 3.47               73.384
                 604                 3.39               69.468
                 605                 4.19               45.362
                 606                 3.74               68.327
                 607                 3.92               60.643
                 608                 3.12               81.612
                 609                 3.56               73.686
                 610                 5.79               29.530
                 611                 3.56               73.905
                 612                 3.12               81.109
                 613                 3.92               60.393
                 614                 3.74               68.684
                 615                 4.19               45.578
                 616                 3.39               69.573
                 617                 3.47               74.045
                 618                 4.19               32.258
                 619                 3.65               70.667
                 620                 3.56               72.461
                 621                 3.39               80.430
                 622                 3.65               72.117
                 623                 5.79               28.977
                 624                 3.47               75.469
