     Orientation no.            sigma (A)       epsilon (cm-1)
                1065                 3.21               68.169
                1066                 3.56               56.035
                1067                 3.47               85.452
                1068                 5.88               29.494
                1069                 3.21               84.554
                1070                 3.21               77.974
                1071                 5.79               28.596
                1072                 3.47               84.194
                1073                 3.74               47.944
                1074                 3.03               70.507
                1075                 3.39               88.314
                1076                 5.88               30.800
                1077                 3.30               88.636
                1078                 3.03               69.403
                1079                 3.83               45.095
                1080                 3.47               83.435
                1081                 4.10               30.901
                1082                 3.21               74.961
                1083                 3.21               85.760
                1084                 5.88               29.839
                1085                 3.47               85.083
                1086                 3.39               59.309
                1087                 3.30               64.125
                1088                 3.39               85.705
                1089                 5.88               30.214
                1090                 3.30               87.187
                1091                 3.12               71.302
                1092                 4.01               34.761
                1093                 3.47               82.300
                1094                 3.92               41.130
                1095                 3.03               67.404
                1096                 3.30               88.180
                1097                 5.88               30.666
                1098                 3.39               86.999
                1099                 3.12               69.224
                1100                 3.65               50.810
                1101                 3.47               83.089
                1102                 5.79               29.095
                1103                 3.21               80.956
                1104                 3.21               81.186
                1105                 5.79               29.134
                1106                 3.47               82.831
                1107                 3.65               50.691
                1108                 3.12               68.622
                1109                 3.39               86.363
                1110                 5.88               30.630
                1111                 3.30               87.534
                1112                 3.12               66.900
                1113                 3.92               40.200
                1114                 3.56               80.757
                1115                 4.01               34.710
                1116                 3.12               70.431
                1117                 3.30               86.574
                1118                 5.88               30.220
                1119                 3.47               84.147
                1120                 3.30               63.027
                1121                 3.39               58.125
                1122                 3.47               83.140
                1123                 5.88               29.812
                1124                 3.30               84.593
                1125                 3.21               74.723
                1126                 4.01               30.115
                1127                 3.56               80.307
                1128                 3.74               43.983
                1129                 3.03               66.454
                1130                 3.39               86.380
                1131                 5.88               30.691
                1132                 3.39               86.035
                1133                 3.03               66.913
                1134                 3.74               45.866
                1135                 3.56               80.061
                1136                 5.79               28.741
                1137                 3.21               76.696
                1138                 3.30               83.015
                1139                 5.88               29.580
                1140                 3.47               81.411
                1141                 3.47               54.949
                1142                 3.21               64.558
                1143                 3.47               83.333
                1144                 5.88               30.339
                1145                 3.30               85.926
                1146                 3.12               67.935
                1147                 3.92               36.585
                1148                 3.56               78.816
                1149                 3.92               37.926
                1150                 3.12               66.568
                1151                 3.30               85.627
                1152                 5.88               30.428
                1153                 3.47               83.164
                1154                 3.12               65.358
                1155                 3.47               52.456
                1156                 3.56               79.708
                1157                 5.79               29.405
                1158                 3.30               81.374
                1159                 3.21               77.868
                1160                 5.79               28.976
                1161                 3.56               78.798
                1162                 3.65               47.459
                1163                 3.03               65.166
                1164                 3.39               83.624
                1165                 5.88               30.557
                1166                 3.39               84.863
                1167                 3.12               64.134
                1168                 3.74               41.798
                1169                 3.56               77.624
                1170                 4.01               32.018
                1171                 3.21               72.002
                1172                 3.30               83.928
                1173                 5.88               29.930
                1174                 3.47               80.054
                1175                 3.30               58.994
                1176                 3.30               59.551
                1177                 3.47               80.040
                1178                 5.88               29.972
                1179                 3.30               83.810
                1180                 3.21               71.165
                1181                 3.92               33.172
                1182                 3.56               76.614
                1183                 3.74               41.272
                1184                 3.12               63.494
                1185                 3.39               83.949
                1186                 5.88               30.462
                1187                 3.47               82.168
                1188                 3.12               63.767
                1189                 3.56               47.835
                1190                 3.56               76.988
                1191                 5.79               29.066
                1192                 3.30               77.561
                1193                 3.30               80.131
                1194                 5.79               29.353
                1195                 3.56               77.303
                1196                 3.47               51.394
                1197                 3.12               63.466
                1198                 3.47               80.709
                1199                 5.88               30.300
                1200                 3.39               83.465
                1201                 3.12               64.378
                1202                 3.83               38.919
                1203                 3.65               74.702
                1204                 3.83               36.089
                1205                 3.21               67.172
                1206                 3.39               83.028
                1207                 5.88               30.115
                1208                 3.47               78.840
                1209                 3.21               61.240
                1210                 3.39               54.548
                1211                 3.56               76.939
                1212                 5.79               29.566
                1213                 3.30               81.161
                1214                 3.30               74.292
                1215                 3.92               30.237
                1216                 3.65               74.415
                1217                 3.65               45.008
                1218                 3.12               61.428
                1219                 3.47               81.102
                1220                 5.88               30.344
                1221                 3.47               81.152
                1222                 3.12               61.268
                1223                 3.65               44.388
                1224                 3.65               73.917
                1225                 3.92               31.906
                1226                 3.30               73.212
                1227                 3.30               80.857
                1228                 5.88               29.600
                1229                 3.56               75.933
                1230                 3.30               54.851
                1231                 3.21               59.952
                1232                 3.56               77.273
                1233                 5.88               29.963
                1234                 3.39               81.784
                1235                 3.21               67.386
                1236                 3.83               36.864
                1237                 3.65               72.798
                1238                 3.74               40.351
                1239                 3.21               62.577
                1240                 3.39               81.117
                1241                 5.88               30.136
                1242                 3.56               77.841
                1243                 3.12               60.989
                1244                 3.47               50.245
                1245                 3.65               73.584
                1246                 5.79               29.243
                1247                 3.30               77.949
                1248                 3.30               76.915
                1249                 5.79               29.127
                1250                 3.65               73.067
                1251                 3.47               48.793
                1252                 3.12               60.126
                1253                 3.47               77.640
                1254                 5.88               30.107
                1255                 3.47               80.073
                1256                 3.21               60.842
                1257                 3.74               41.511
                1258                 3.65               71.490
                1259                 3.83               36.588
                1260                 3.30               68.445
                1261                 3.39               80.433
                1262                 5.88               29.747
                1263                 3.56               74.768
                1264                 3.21               58.113
                1265                 3.30               55.921
                1266                 3.65               73.655
                1267                 5.88               29.580
                1268                 3.39               79.744
                1269                 3.30               70.857
                1270                 3.92               34.501
                1271                 3.65               70.782
                1272                 3.65               44.021
                1273                 3.12               58.972
                1274                 3.47               78.611
                1275                 5.88               30.015
                1276                 3.56               77.055
                1277                 3.12               58.395
                1278                 3.56               46.879
                1279                 3.65               70.810
                1280                 3.92               31.664
                1281                 3.30               74.164
                1282                 3.39               77.869
                1283                 5.79               29.312
                1284                 3.65               71.845
                1285                 3.39               52.432
                1286                 3.12               58.694
                1287                 3.56               74.580
                1288                 5.88               29.791
                1289                 3.47               78.857
                1290                 3.30               63.467
                1291                 3.74               40.789
                1292                 3.74               69.076
                1293                 3.74               40.822
                1294                 3.30               63.465
                1295                 3.47               78.606
                1296                 5.88               29.739
                1297                 3.56               73.844
                1298                 3.12               58.178
                1299                 3.30               52.219
                1300                 3.65               70.845
                1301                 5.79               29.259
                1302                 3.39               77.261
                1303                 3.30               73.386
                1304                 3.92               32.505
                1305                 3.74               69.069
                1306                 3.47               47.775
                1307                 3.12               56.721
                1308                 3.56               75.511
                1309                 5.88               29.782
                1310                 3.56               76.300
                1311                 3.21               57.451
                1312                 3.56               45.410
                1313                 3.74               68.312
                1314                 3.83               36.728
                1315                 3.30               69.851
                1316                 3.39               77.540
                1317                 5.79               29.352
                1318                 3.65               70.831
                1319                 3.21               55.467
                1320                 3.21               56.388
                1321                 3.65               71.420
                1322                 5.88               29.429
                1323                 3.47               77.410
                1324                 3.30               67.207
                1325                 3.83               38.713
                1326                 3.74               67.449
                1327                 3.65               44.411
                1328                 3.21               58.786
                1329                 3.56               75.899
                1330                 5.88               29.598
                1331                 3.56               73.147
                1332                 3.12               55.722
                1333                 3.39               50.290
                1334                 3.74               68.062
                1335                 4.01               29.539
                1336                 3.39               74.263
                1337                 3.39               74.983
                1338                 5.79               29.007
                1339                 3.74               68.070
                1340                 3.39               51.544
                1341                 3.12               55.527
                1342                 3.65               72.186
                1343                 5.88               29.476
                1344                 3.56               75.500
                1345                 3.30               59.901
                1346                 3.65               44.473
                1347                 3.74               66.136
                1348                 3.74               41.130
                1349                 3.30               65.136
                1350                 3.47               76.241
                1351                 5.88               29.292
                1352                 3.65               70.066
                1353                 3.12               55.753
                1354                 3.21               54.318
                1355                 3.74               68.311
                1356                 5.79               29.111
                1357                 3.47               75.627
                1358                 3.39               70.203
                1359                 3.83               35.926
                1360                 3.74               65.831
                1361                 3.47               47.846
                1362                 3.21               54.921
                1363                 3.56               73.175
                1364                 5.88               29.356
                1365                 3.56               72.615
                1366                 3.21               54.298
                1367                 3.47               49.083
                1368                 3.74               65.476
                1369                 3.92               34.829
                1370                 3.39               70.716
                1371                 3.47               74.940
                1372                 5.79               28.996
                1373                 3.74               67.252
                1374                 3.30               53.678
                1375                 3.12               54.946
                1376                 3.65               68.904
                1377                 5.88               29.128
                1378                 3.56               74.559
                1379                 3.39               63.538
                1380                 3.74               42.296
                1381                 3.83               64.407
                1382                 3.65               44.898
                1383                 3.30               60.260
                1384                 3.56               74.010
                1385                 5.88               29.121
                1386                 3.65               69.545
                1387                 3.12               53.586
                1388                 3.30               53.143
                1389                 3.74               65.592
                1390                 4.01               28.831
                1391                 3.47               73.413
                1392                 3.39               71.793
                1393                 3.92               32.051
                1394                 3.83               64.694
                1395                 3.39               51.611
                1396                 3.21               52.292
                1397                 3.65               70.281
                1398                 5.88               29.047
                1399                 3.56               72.154
                1400                 3.30               56.418
                1401                 3.56               47.640
                1402                 3.83               63.703
                1403                 3.83               39.125
                1404                 3.39               66.648
                1405                 3.56               73.621
                1406                 5.79               28.856
                1407                 3.74               66.661
                1408                 3.21               54.307
                1409                 3.21               54.446
                1410                 3.74               66.341
                1411                 5.79               28.817
                1412                 3.56               73.373
                1413                 3.39               66.900
                1414                 3.83               38.983
                1415                 3.83               63.180
                1416                 3.56               47.981
                1417                 3.30               55.603
                1418                 3.65               71.272
                1419                 5.88               28.859
                1420                 3.65               69.218
                1421                 3.21               51.684
                1422                 3.39               51.993
                1423                 3.83               63.527
                1424                 3.92               33.356
                1425                 3.47               70.693
                1426                 3.47               72.405
                1427                 4.10               29.502
                1428                 3.83               64.092
                1429                 3.30               53.918
                1430                 3.12               51.848
                1431                 3.74               67.390
                1432                 5.88               28.703
                1433                 3.56               71.641
                1434                 3.39               60.218
                1435                 3.65               45.173
                1436                 3.83               61.944
                1437                 3.65               42.981
                1438                 3.39               62.185
                1439                 3.56               71.903
                1440                 5.79               28.620
                1441                 3.74               66.302
                1442                 3.12               52.328
                1443                 3.21               54.359
                1444                 3.83               63.885
                1445                 4.10               29.995
                1446                 3.56               71.838
                1447                 3.47               69.051
                1448                 3.92               35.848
                1449                 3.83               62.049
                1450                 3.39               50.952
                1451                 3.30               51.703
                1452                 3.74               68.333
                1453                 5.88               28.539
                1454                 3.65               69.002
                1455                 3.30               53.244
                1456                 3.47               50.277
                1457                 3.92               61.361
                1458                 3.83               37.552
                1459                 3.47               67.440
                1460                 3.56               71.681
                1461                 4.10               29.800
                1462                 3.83               63.681
                1463                 3.21               54.544
                1464                 3.12               52.596
                1465                 3.83               64.599
                1466                 4.19               29.623
                1467                 3.56               70.947
                1468                 3.47               63.676
                1469                 3.74               41.851
                1470                 3.92               60.797
                1471                 3.56               46.948
                1472                 3.39               57.586
                1473                 3.65               69.640
                1474                 4.28               29.958
                1475                 3.74               66.139
                1476                 3.21               50.018
                1477                 3.30               53.983
                1478                 3.83               61.486
                1479                 4.01               34.004
                1480                 3.56               69.865
                1481                 3.56               69.689
                1482                 4.01               34.430
                1483                 3.92               61.315
                1484                 3.30               53.821
                1485                 3.21               49.787
                1486                 3.74               65.773
                1487                 4.28               31.288
                1488                 3.65               68.786
                1489                 3.39               56.958
                1490                 3.56               47.516
                1491                 3.92               60.194
                1492                 3.74               41.611
                1493                 3.47               63.703
                1494                 3.65               70.030
                1495                 4.19               32.440
                1496                 3.83               63.472
                1497                 3.21               52.206
                1498                 3.21               54.314
                1499                 3.83               62.293
                1500                 4.19               33.003
                1501                 3.56               69.944
                1502                 3.47               66.111
                1503                 3.83               38.917
                1504                 3.92               60.022
                1505                 3.47               50.533
                1506                 3.39               53.283
                1507                 3.74               67.137
                1508                 4.28               33.471
                1509                 3.74               66.102
                1510                 3.30               50.726
                1511                 3.39               52.421
                1512                 3.92               60.080
                1513                 3.92               37.818
                1514                 3.56               67.400
                1515                 3.56               69.435
                1516                 4.10               35.290
                1517                 3.92               61.086
                1518                 3.21               54.743
                1519                 3.21               50.370
                1520                 3.83               63.454
                1521                 4.28               34.214
                1522                 3.65               68.449
                1523                 3.47               60.718
                1524                 3.65               44.057
                1525                 3.92               58.958
                1526                 3.65               45.609
                1527                 3.47               59.643
                1528                 3.74               67.825
                1529                 4.28               35.161
                1530                 3.83               63.442
                1531                 3.21               49.707
                1532                 3.30               54.822
                1533                 3.92               60.476
                1534                 4.10               36.799
                1535                 3.56               68.524
                1536                 3.56               67.369
                1537                 4.01               38.194
                1538                 3.92               59.393
                1539                 3.39               53.650
                1540                 3.39               49.904
                1541                 3.83               64.590
                1542                 4.28               36.801
                1543                 3.74               66.093
                1544                 3.47               54.245
                1545                 3.47               49.584
                1546                 3.92               58.440
                1547                 3.83               41.704
                1548                 3.56               64.445
                1549                 3.65               68.343
                1550                 4.19               37.481
                1551                 3.92               61.021
                1552                 3.21               53.804
                1553                 3.21               52.886
                1554                 3.92               61.231
                1555                 4.19               38.028
                1556                 3.65               67.869
                1557                 3.56               63.382
                1558                 3.83               42.881
                1559                 4.01               58.152
                1560                 3.56               49.583
                1561                 3.47               55.577
                1562                 3.74               65.768
                1563                 4.28               38.671
                1564                 3.83               63.533
                1565                 3.30               49.291
                1566                 3.39               54.533
                1567                 3.92               58.604
                1568                 4.01               40.355
                1569                 3.65               66.629
                1570                 3.65               67.329
                1571                 4.01               39.469
                1572                 3.92               58.980
                1573                 3.30               55.829
                1574                 3.30               49.131
                1575                 3.83               62.201
                1576                 4.28               39.462
                1577                 3.74               66.002
                1578                 3.56               57.863
                1579                 3.65               48.155
                1580                 4.01               57.706
                1581                 3.74               45.784
                1582                 3.56               61.094
                1583                 3.74               66.634
                1584                 4.19               40.676
                1585                 3.92               61.105
                1586                 3.21               50.885
                1587                 3.21               55.261
                1588                 3.92               59.368
                1589                 4.10               41.146
                1590                 3.65               66.937
                1591                 3.56               64.711
                1592                 3.92               43.278
                1593                 4.01               57.823
                1594                 3.47               53.502
                1595                 3.47               52.007
                1596                 3.83               63.674
                1597                 4.28               41.693
                1598                 3.83               63.661
                1599                 3.47               52.167
                1600                 3.47               53.710
                1601                 4.01               57.665
                1602                 3.92               44.005
                1603                 3.65               64.376
                1604                 3.74               66.323
                1605                 4.10               42.591
                1606                 4.01               58.860
                1607                 3.21               55.373
                1608                 3.21               51.002
                1609                 3.92               60.475
                1610                 4.19               43.046
                1611                 3.74               65.716
                1612                 3.56               60.745
                1613                 3.74               47.593
                1614                 4.01               57.036
                1615                 3.65               50.102
                1616                 3.56               57.568
                1617                 3.83               64.595
                1618                 4.19               43.656
                1619                 3.92               61.292
                1620                 3.30               49.325
                1621                 3.30               57.116
                1622                 4.01               58.051
                1623                 4.01               44.267
                1624                 3.65               65.574
                1625                 3.65               65.237
                1626                 4.01               44.941
                1627                 4.01               57.649
                1628                 3.39               56.978
                1629                 3.39               49.900
                1630                 3.92               61.594
                1631                 4.19               44.796
                1632                 3.83               63.729
                1633                 3.56               55.600
                1634                 3.56               52.877
                1635                 4.01               56.677
                1636                 3.83               47.937
                1637                 3.65               61.715
                1638                 3.74               65.148
                1639                 4.19               45.030
                1640                 4.01               59.048
                1641                 3.30               53.364
                1642                 3.30               54.852
                1643                 4.01               58.743
                1644                 4.10               45.850
                1645                 3.74               65.130
                1646                 3.65               62.463
                1647                 3.83               48.426
                1648                 4.01               56.507
                1649                 3.56               54.611
                1650                 3.56               54.249
                1651                 3.83               62.597
                1652                 4.19               46.829
                1653                 3.92               61.510
                1654                 3.47               50.983
                1655                 3.39               57.648
                1656                 4.01               56.858
                1657                 3.92               47.891
                1658                 3.65               63.749
                1659                 3.74               64.768
                1660                 4.01               47.199
                1661                 4.01               57.656
                1662                 3.30               58.616
                1663                 3.39               50.406
                1664                 3.92               59.668
                1665                 4.19               47.818
                1666                 3.83               63.632
                1667                 3.65               58.313
                1668                 3.65               52.863
                1669                 4.10               56.030
                1670                 3.74               52.232
                1671                 3.65               58.800
                1672                 3.83               63.604
                1673                 4.19               48.303
                1674                 4.01               59.310
                1675                 3.39               50.926
                1676                 3.30               58.942
                1677                 4.01               57.512
                1678                 4.01               48.797
                1679                 3.74               64.162
                1680                 3.74               62.972
                1681                 3.92               50.465
                1682                 4.10               56.317
                1683                 3.47               58.967
                1684                 3.56               51.681
                1685                 3.92               60.993
                1686                 4.19               49.775
                1687                 3.92               61.671
                1688                 3.56               53.769
                1689                 3.47               57.866
                1690                 4.10               56.088
                1691                 3.83               52.186
                1692                 3.74               61.548
                1693                 3.83               63.618
                1694                 4.10               50.362
                1695                 4.01               57.830
                1696                 3.30               57.281
                1697                 3.30               54.146
                1698                 4.01               58.432
                1699                 4.10               50.947
                1700                 3.83               63.270
                1701                 3.65               60.027
                1702                 3.74               54.262
                1703                 4.10               55.886
                1704                 3.56               57.756
                1705                 3.65               55.915
                1706                 3.92               61.862
                1707                 4.19               50.959
                1708                 4.01               59.585
                1709                 3.47               51.008
                1710                 3.39               61.787
                1711                 4.10               56.445
                1712                 3.92               52.505
                1713                 3.74               62.771
                1714                 3.74               62.804
                1715                 3.92               52.394
                1716                 4.10               56.492
                1717                 3.39               61.986
                1718                 3.47               51.152
                1719                 4.01               59.349
                1720                 4.10               52.500
                1721                 3.92               61.680
                1722                 3.65               56.286
                1723                 3.56               58.849
                1724                 4.10               55.747
                1725                 3.74               57.064
                1726                 3.74               59.188
                1727                 3.83               62.293
                1728                 4.10               53.438
                1729                 4.01               58.122
                1730                 3.39               54.074
                1731                 3.30               58.862
                1732                 4.01               57.036
                1733                 4.01               54.208
                1734                 3.83               62.562
                1735                 3.74               60.919
                1736                 3.83               56.636
                1737                 4.10               55.887
                1738                 3.47               62.842
                1739                 3.65               53.482
                1740                 3.92               60.247
                1741                 4.10               54.601
                1742                 4.01               59.791
                1743                 3.56               52.639
                1744                 3.47               63.900
                1745                 4.10               55.967
                1746                 3.83               57.108
                1747                 3.74               60.980
                1748                 3.83               62.161
                1749                 4.01               55.773
                1750                 4.10               56.770
                1751                 3.39               61.011
                1752                 3.39               53.174
                1753                 4.01               58.124
                1754                 4.10               55.321
                1755                 3.92               61.443
                1756                 3.74               57.939
                1757                 3.65               61.090
                1758                 4.10               55.549
                1759                 3.65               62.244
                1760                 3.74               56.761
                1761                 3.92               61.052
                1762                 4.10               56.074
                1763                 4.01               58.450
                1764                 3.47               52.273
                1765                 3.39               63.723
                1766                 4.10               56.478
                1767                 3.92               58.192
                1768                 3.83               61.463
                1769                 3.83               60.885
                1770                 3.83               58.978
                1771                 4.10               56.052
                1772                 3.39               65.521
                1773                 3.56               52.255
                1774                 4.01               59.071
                1775                 4.10               57.053
                1776                 4.01               59.840
                1777                 3.65               54.551
                1778                 3.56               65.750
                1779                 4.10               55.594
                1780                 3.74               62.359
                1781                 3.74               58.901
                1782                 3.92               61.043
                1783                 4.01               58.783
                1784                 4.10               57.104
                1785                 3.39               57.708
                1786                 3.39               57.562
                1787                 4.10               57.117
                1788                 4.01               59.111
                1789                 3.92               60.880
                1790                 3.83               58.615
                1791                 3.74               63.668
                1792                 4.10               55.555
                1793                 3.56               67.068
                1794                 3.74               54.590
                1795                 4.01               59.620
                1796                 4.01               59.977
                1797                 4.01               58.707
                1798                 3.65               52.371
                1799                 3.39               66.982
                1800                 4.10               55.995
                1801                 3.83               62.944
                1802                 3.83               59.982
                1803                 3.83               60.242
                1804                 3.83               61.857
                1805                 4.10               56.353
                1806                 3.39               65.090
                1807                 3.56               52.806
                1808                 4.01               57.814
                1809                 4.01               61.067
                1810                 3.92               59.666
                1811                 3.74               56.003
                1812                 3.56               68.290
                1813                 4.10               55.433
                1814                 3.65               67.696
                1815                 3.83               56.795
                1816                 3.92               59.890
                1817                 3.92               62.411
                1818                 4.10               57.410
                1819                 3.47               54.166
                1820                 3.39               62.321
                1821                 4.10               56.603
                1822                 3.83               63.657
                1823                 3.92               59.942
                1824                 3.83               58.850
                1825                 3.74               66.793
                1826                 4.10               55.770
                1827                 3.47               69.848
                1828                 3.65               53.099
                1829                 4.01               58.631
                1830                 3.92               63.556
                1831                 4.01               58.775
                1832                 3.74               53.526
                1833                 3.47               70.680
                1834                 4.10               55.696
                1835                 3.74               68.044
                1836                 3.83               58.208
                1837                 3.92               59.599
                1838                 3.83               66.005
                1839                 4.10               56.712
                1840                 3.47               60.318
                1841                 3.47               55.143
                1842                 4.10               57.205
                1843                 3.92               65.309
                1844                 3.92               59.136
                1845                 3.83               56.722
                1846                 3.65               70.784
                1847                 4.10               55.533
                1848                 3.56               71.938
                1849                 3.83               54.908
                1850                 4.01               58.910
                1851                 3.92               66.127
                1852                 4.10               57.582
                1853                 3.65               52.871
                1854                 3.47               66.193
                1855                 4.10               56.215
                1856                 3.74               69.633
                1857                 3.92               58.633
                1858                 3.92               58.464
                1859                 3.74               70.333
                1860                 4.10               56.133
                1861                 3.47               67.246
                1862                 3.65               52.853
                1863                 4.10               57.581
                1864                 3.83               68.355
                1865                 4.01               58.534
                1866                 3.83               54.391
                1867                 3.47               72.802
                1868                 4.10               55.673
                1869                 3.56               73.051
                1870                 3.83               56.321
                1871                 4.01               58.532
                1872                 3.83               69.802
                1873                 4.10               57.002
                1874                 3.56               55.685
                1875                 3.47               58.212
                1876                 4.10               56.768
                1877                 3.74               71.403
                1878                 4.01               58.201
                1879                 3.92               56.688
                1880                 3.65               73.872
                1881                 4.10               55.854
                1882                 3.47               72.220
                1883                 3.83               53.460
                1884                 4.01               57.901
                1885                 3.83               70.984
                1886                 4.10               57.485
                1887                 3.74               52.985
                1888                 3.47               69.156
                1889                 4.10               56.071
                1890                 3.65               74.878
                1891                 3.92               57.032
                1892                 3.92               57.632
                1893                 3.65               73.908
                1894                 4.10               56.501
                1895                 3.47               60.931
                1896                 3.65               53.510
                1897                 4.10               57.114
                1898                 3.74               74.024
                1899                 4.01               57.874
                1900                 3.83               54.753
                1901                 3.56               74.639
                1902                 4.10               55.907
                1903                 3.56               74.327
                1904                 3.83               54.573
                1905                 4.01               57.708
                1906                 3.74               74.782
                1907                 4.10               57.045
                1908                 3.65               53.190
                1909                 3.56               60.112
                1910                 4.10               56.494
                1911                 3.65               76.641
                1912                 4.01               56.899
                1913                 3.92               56.324
                1914                 3.56               76.915
                1915                 4.10               56.235
                1916                 3.47               65.706
                1917                 3.74               52.678
                1918                 4.10               57.043
                1919                 3.65               76.789
                1920                 4.01               57.091
                1921                 3.83               53.285
                1922                 3.47               69.056
                1923                 4.10               56.156
                1924                 3.56               76.189
                1925                 3.92               55.307
                1926                 4.01               56.852
                1927                 3.65               77.441
                1928                 4.10               56.628
                1929                 3.65               55.183
                1930                 3.65               54.222
                1931                 4.10               56.665
                1932                 3.56               77.540
                1933                 4.01               56.716
                1934                 3.92               54.716
                1935                 3.56               73.870
                1936                 4.10               56.192
                1937                 3.56               67.668
                1938                 3.83               53.190
                1939                 4.01               56.620
                1940                 3.56               78.163
                1941                 4.10               56.585
                1942                 3.83               52.491
                1943                 3.56               59.607
                1944                 4.10               56.320
                1945                 3.56               75.865
                1946                 4.01               55.274
                1947                 4.01               55.476
                1948                 3.56               75.893
                1949                 4.10               56.311
                1950                 3.65               56.925
                1951                 3.83               52.405
                1952                 4.10               56.321
                1953                 3.56               77.526
                1954                 4.01               56.082
                1955                 3.92               53.262
                1956                 3.56               64.463
                1957                 4.10               56.141
                1958                 3.56               66.753
                1959                 3.92               53.697
                1960                 4.01               55.700
                1961                 3.56               74.672
                1962                 4.10               56.064
                1963                 3.74               52.478
                1964                 3.74               53.570
                1965                 4.10               56.015
                1966                 3.56               71.096
                1967                 4.01               55.009
                1968                 4.01               53.885
                1969                 3.56               65.311
                1970                 4.10               55.890
                1971                 3.65               56.446
                1972                 3.92               52.397
                1973                 4.01               55.332
                1974                 3.56               68.878
                1975                 4.01               55.239
                1976                 3.92               52.332
                1977                 3.65               54.645
                1978                 4.10               55.549
                1979                 3.65               59.758
                1980                 4.01               53.452
                1981                 4.01               54.190
                1982                 3.65               60.504
                1983                 4.10               55.096
                1984                 3.83               52.297
                1985                 3.83               52.021
                1986                 4.01               54.740
                1987                 3.65               58.177
                1988                 4.01               54.057
                1989                 3.92               52.650
                1990                 3.74               53.508
                1991                 4.01               54.502
                1992                 3.83               52.514
                1993                 3.92               52.407
                1994                 4.01               53.591
                1995                 3.74               53.096
                1996                 4.01               53.642
                1997                 3.92               52.045
                1998                 3.92               51.861
                1999                 4.01               53.097
                2000                 3.92               51.866
--------------------------------------------------------------
          Minimum =                  3.03                28.50
          Maximun =                  5.88                90.77
          Average =                  3.81                60.21
          Std dev =                  0.61                14.94

            Sigma =                  3.81  +/- 0.61 A   
          Epsilon =                 60.21  +/- 14.94 cm-1
