     Orientation no.            sigma (A)       epsilon (cm-1)
                 245                 4.19              145.425
                 246                 3.83              197.939
                 247                 4.01              152.635
                 248                 3.74              157.771
                 249                 3.83              197.073
                 250                 4.19              141.847
                 251                 3.74              204.559
                 252                 3.74              164.585
                 253                 4.01              151.472
                 254                 3.83              202.156
                 255                 4.10              148.084
                 256                 3.56              201.995
                 257                 3.65              222.686
                 258                 4.19              143.764
                 259                 3.92              184.549
                 260                 3.92              155.384
                 261                 3.92              155.516
                 262                 3.92              184.153
                 263                 4.19              143.737
                 264                 3.65              221.493
                 265                 3.56              200.375
                 266                 4.10              149.291
                 267                 3.83              200.647
                 268                 4.01              152.289
                 269                 3.65              171.300
                 270                 3.83              201.444
                 271                 4.19              142.934
                 272                 3.83              188.334
                 273                 3.74              160.202
                 274                 4.01              154.638
                 275                 3.92              186.396
                 276                 4.10              146.940
                 277                 3.56              225.677
                 278                 3.56              228.787
                 279                 4.10              146.024
                 280                 3.92              182.869
                 281                 3.92              156.057
                 282                 3.83              159.210
                 283                 3.92              183.506
                 284                 4.19              143.769
                 285                 3.74              204.659
                 286                 3.56              183.323
                 287                 4.01              152.831
                 288                 3.83              196.137
                 289                 4.10              151.384
                 290                 3.56              197.881
                 291                 3.74              212.658
                 292                 4.19              144.584
                 293                 3.92              176.878
                 294                 3.83              159.391
                 295                 3.92              157.874
                 296                 3.92              174.403
                 297                 4.10              145.987
                 298                 3.65              225.147
                 299                 3.47              225.341
                 300                 4.10              150.112
                 301                 3.92              186.066
                 302                 4.01              156.034
                 303                 3.65              169.338
                 304                 3.92              187.638
                 305                 4.19              144.421
                 306                 3.92              187.646
                 307                 3.65              170.467
                 308                 4.01              156.384
                 309                 3.92              184.171
                 310                 4.10              150.815
                 311                 3.47              227.970
                 312                 3.65              224.715
                 313                 4.10              147.247
                 314                 4.01              170.844
                 315                 3.83              159.607
                 316                 3.83              161.245
                 317                 4.01              171.621
                 318                 4.19              145.707
                 319                 3.74              208.608
                 320                 3.47              209.591
                 321                 4.01              154.106
                 322                 3.92              189.343
                 323                 4.01              156.043
                 324                 3.56              191.978
                 325                 3.83              197.019
                 326                 4.19              145.613
                 327                 4.01              173.524
                 328                 3.74              165.034
                 329                 3.92              160.234
                 330                 4.01              169.616
                 331                 4.10              150.087
                 332                 3.56              232.150
                 333                 3.56              233.802
                 334                 4.10              151.012
                 335                 4.01              171.141
                 336                 3.92              160.546
                 337                 3.65              168.291
                 338                 4.01              174.310
                 339                 4.10              146.407
                 340                 3.92              189.007
                 341                 3.56              188.152
                 342                 3.92              157.970
                 343                 4.01              180.390
                 344                 4.01              155.191
                 345                 3.47              225.263
                 346                 3.74              210.567
                 347                 4.10              148.786
                 348                 4.10              162.923
                 349                 3.74              163.790
                 350                 3.83              163.721
                 351                 4.10              161.913
                 352                 4.10              149.650
                 353                 3.74              214.305
                 354                 3.47              232.514
                 355                 4.01              155.391
                 356                 4.01              176.657
