     Orientation no.            sigma (A)       epsilon (cm-1)
                 245                 4.01               26.678
                 246                 3.65               39.321
                 247                 3.92               26.074
                 248                 3.65               27.076
                 249                 3.65               33.612
                 250                 4.10               26.874
                 251                 3.65               33.987
                 252                 3.56               28.497
                 253                 3.92               26.359
                 254                 3.65               40.663
                 255                 4.01               26.657
                 256                 3.39               34.100
                 257                 3.47               36.634
                 258                 4.01               26.825
                 259                 3.74               34.308
                 260                 3.74               26.117
                 261                 3.74               26.196
                 262                 3.74               33.669
                 263                 4.01               26.887
                 264                 3.47               35.877
                 265                 3.39               33.785
                 266                 4.01               26.679
                 267                 3.74               40.165
                 268                 3.92               26.533
                 269                 3.56               29.273
                 270                 3.65               32.905
                 271                 4.10               27.032
                 272                 3.74               31.747
                 273                 3.65               27.177
                 274                 3.83               26.359
                 275                 3.74               36.870
                 276                 4.01               27.021
                 277                 3.39               37.128
                 278                 3.39               37.059
                 279                 4.01               27.095
                 280                 3.74               35.209
                 281                 3.83               26.352
                 282                 3.65               26.908
                 283                 3.74               30.795
                 284                 4.01               27.157
                 285                 3.65               32.593
                 286                 3.47               31.137
                 287                 3.92               26.801
                 288                 3.74               39.937
                 289                 3.92               26.920
                 290                 3.39               33.305
                 291                 3.56               33.442
                 292                 4.01               27.288
                 293                 3.83               30.741
                 294                 3.65               26.593
                 295                 3.74               26.441
                 296                 3.83               32.538
                 297                 4.01               27.338
                 298                 3.47               35.861
                 299                 3.39               36.735
                 300                 4.01               27.093
                 301                 3.74               36.944
                 302                 3.83               26.723
                 303                 3.56               28.637
                 304                 3.74               29.617
                 305                 4.01               27.459
                 306                 3.74               29.534
                 307                 3.56               28.755
                 308                 3.83               26.797
                 309                 3.83               36.725
                 310                 3.92               27.232
                 311                 3.39               36.891
                 312                 3.47               35.112
                 313                 4.01               27.519
                 314                 3.83               31.309
                 315                 3.74               26.652
                 316                 3.65               26.883
                 317                 3.83               29.042
                 318                 4.01               27.633
                 319                 3.65               31.935
                 320                 3.39               34.535
                 321                 3.92               27.276
                 322                 3.83               38.321
                 323                 3.92               27.063
                 324                 3.39               32.204
                 325                 3.74               29.940
                 326                 4.01               27.749
                 327                 3.92               27.948
                 328                 3.56               27.505
                 329                 3.74               26.799
                 330                 3.83               32.211
                 331                 4.01               27.581
                 332                 3.47               36.136
                 333                 3.39               36.937
                 334                 3.92               27.590
                 335                 3.83               33.275
                 336                 3.74               26.870
                 337                 3.56               28.141
                 338                 3.92               27.342
                 339                 4.01               27.920
                 340                 3.83               28.321
                 341                 3.39               31.442
                 342                 3.83               27.297
                 343                 3.83               37.188
                 344                 3.92               27.594
                 345                 3.30               36.203
                 346                 3.65               31.496
                 347                 4.01               27.938
                 348                 3.92               28.144
                 349                 3.65               27.108
                 350                 3.65               27.025
                 351                 3.92               28.505
                 352                 4.01               27.951
                 353                 3.56               32.007
                 354                 3.30               36.976
                 355                 3.92               27.777
                 356                 3.83               35.868
                 357                 3.83               27.387
                 358                 3.39               30.977
                 359                 3.83               27.026
                 360                 4.01               28.174
                 361                 3.92               26.407
                 362                 3.47               29.123
                 363                 3.74               27.262
                 364                 3.92               33.231
                 365                 3.92               28.041
                 366                 3.39               37.034
                 367                 3.47               34.178
                 368                 3.92               28.143
                 369                 3.92               29.670
                 370                 3.74               27.130
                 371                 3.56               27.859
                 372                 4.01               26.002
                 373                 4.01               28.268
                 374                 3.74               27.929
                 375                 3.30               34.801
                 376                 3.83               27.851
                 377                 3.92               36.690
                 378                 3.83               27.899
                 379                 3.30               35.389
                 380                 3.74               27.967
                 381                 4.01               28.331
                 382                 4.01               25.807
                 383                 3.56               27.911
                 384                 3.65               27.337
                 385                 4.01               28.752
                 386                 3.92               28.435
                 387                 3.56               32.974
                 388                 3.39               36.982
                 389                 3.92               28.298
                 390                 3.92               32.736
                 391                 3.74               27.647
                 392                 3.47               29.891
                 393                 4.01               24.984
                 394                 3.92               28.547
                 395                 3.92               25.445
                 396                 3.39               31.684
                 397                 3.74               27.819
                 398                 3.92               34.421
                 399                 3.83               28.323
                 400                 3.30               37.614
                 401                 3.65               30.394
                 402                 3.92               28.714
                 403                 4.01               26.701
                 404                 3.65               27.562
                 405                 3.56               27.823
                 406                 4.01               25.454
                 407                 3.92               28.814
                 408                 3.74               28.371
                 409                 3.30               37.553
                 410                 3.83               28.453
                 411                 3.92               35.523
                 412                 3.74               28.107
                 413                 3.30               34.034
                 414                 3.92               25.420
                 415                 3.92               28.964
                 416                 4.01               24.204
                 417                 3.47               29.319
                 418                 3.65               27.804
                 419                 4.01               29.935
                 420                 3.92               28.761
                 421                 3.47               34.532
                 422                 3.47               33.979
                 423                 3.92               28.828
                 424                 4.01               29.305
                 425                 3.65               27.913
                 426                 3.47               29.244
                 427                 4.10               23.845
                 428                 3.92               29.194
                 429                 3.92               25.157
                 430                 3.30               35.057
                 431                 3.74               28.457
                 432                 3.92               35.114
                 433                 3.83               28.705
                 434                 3.30               37.728
                 435                 3.83               26.848
                 436                 3.92               29.279
                 437                 4.10               24.495
                 438                 3.56               28.253
                 439                 3.56               28.033
                 440                 4.10               25.923
                 441                 3.92               29.242
                 442                 3.65               29.364
                 443                 3.30               37.286
                 444                 3.83               29.094
                 445                 4.01               32.888
                 446                 3.74               28.380
                 447                 3.30               32.498
                 448                 4.01               23.645
                 449                 3.92               29.551
                 450                 4.01               23.294
                 451                 3.39               31.606
                 452                 3.65               28.407
                 453                 4.01               31.653
                 454                 3.83               29.307
                 455                 3.39               36.383
                 456                 3.65               29.918
                 457                 3.83               29.485
                 458                 4.10               26.265
                 459                 3.56               28.286
                 460                 3.47               28.929
                 461                 4.10               23.463
                 462                 3.92               29.665
                 463                 3.83               25.320
                 464                 3.21               37.723
                 465                 3.74               29.168
                 466                 4.01               35.058
                 467                 3.74               29.102
                 468                 3.21               36.911
                 469                 3.92               24.483
                 470                 3.92               29.808
                 471                 4.10               22.907
                 472                 3.39               29.545
                 473                 3.56               28.465
                 474                 4.10               27.110
                 475                 3.83               29.840
                 476                 3.56               31.085
                 477                 3.47               34.158
