     Orientation no.            sigma (A)       epsilon (cm-1)
                1067                 4.05              111.065
                1068                 4.77              254.660
                1069                 3.61              145.917
                1070                 3.52              186.300
                1071                 4.68              242.106
                1072                 4.14              109.613
                1073                 4.32              232.007
                1074                 3.52              287.740
                1075                 3.96              114.730
                1076                 4.68              282.526
                1077                 3.87              116.164
                1078                 3.52              286.654
                1079                 4.41              232.482
                1080                 4.14              108.948
                1081                 4.68              239.852
                1082                 3.43              205.521
                1083                 3.70              135.260
                1084                 4.68              263.006
                1085                 4.05              110.177
                1086                 4.05              250.188
                1087                 3.87              261.576
                1088                 4.05              110.687
                1089                 4.68              270.215
                1090                 3.79              125.868
                1091                 3.43              233.589
                1092                 4.59              238.271
                1093                 4.14              107.783
                1094                 4.50              234.973
                1095                 3.43              277.452
                1096                 3.87              117.205
                1097                 4.68              279.047
                1098                 3.96              111.560
                1099                 3.61              282.468
                1100                 4.23              241.606
                1101                 4.14              107.733
                1102                 4.68              254.750
                1103                 3.52              158.698
                1104                 3.61              157.090
                1105                 4.68              255.963
                1106                 4.14              107.362
                1107                 4.23              242.821
                1108                 3.61              282.520
                1109                 3.96              110.276
                1110                 4.68              278.057
                1111                 3.87              116.072
                1112                 3.43              274.713
                1113                 4.50              239.069
                1114                 4.14              105.834
                1115                 4.59              243.332
                1116                 3.43              232.168
                1117                 3.79              122.830
                1118                 4.68              272.318
                1119                 4.05              108.027
                1120                 3.87              266.603
                1121                 3.96              256.134
                1122                 4.14              106.543
                1123                 4.68              267.729
                1124                 3.70              131.273
                1125                 3.43              195.112
                1126                 4.59              249.438
                1127                 4.14              104.785
                1128                 4.41              241.343
                1129                 3.43              286.785
                1130                 3.96              111.202
                1131                 4.77              277.435
                1132                 3.96              110.052
                1133                 3.52              290.424
                1134                 4.32              244.772
                1135                 4.14              104.173
                1136                 4.68              254.642
                1137                 3.52              178.129
                1138                 3.70              135.534
                1139                 4.68              267.251
                1140                 4.14              104.841
                1141                 4.05              255.860
                1142                 3.79              276.016
                1143                 4.05              106.209
                1144                 4.68              273.861
                1145                 3.87              116.048
                1146                 3.43              244.168
                1147                 4.50              248.795
                1148                 4.23              102.388
                1149                 4.50              248.281
                1150                 3.43              257.008
                1151                 3.87              113.767
                1152                 4.68              273.867
                1153                 4.05              105.743
                1154                 3.70              282.960
                1155                 4.14              254.446
                1156                 4.14              102.950
                1157                 4.68              267.554
                1158                 3.61              138.626
                1159                 3.52              161.289
                1160                 4.68              261.841
                1161                 4.23              101.560
                1162                 4.23              252.003
                1163                 3.52              290.648
                1164                 4.05              105.914
                1165                 4.77              273.484
                1166                 3.96              108.522
                1167                 3.43              281.046
                1168                 4.41              250.686
                1169                 4.23              100.676
                1170                 4.59              258.302
                1171                 3.43              200.005
                1172                 3.79              120.367
                1173                 4.68              272.178
                1174                 4.14              102.206
                1175                 3.87              270.428
                1176                 3.87              272.297
                1177                 4.14              102.025
                1178                 4.68              272.229
                1179                 3.79              118.154
                1180                 3.43              203.400
                1181                 4.59              259.552
                1182                 4.23               99.437
                1183                 4.41              254.156
                1184                 3.43              276.668
                1185                 3.96              106.817
                1186                 4.77              270.678
                1187                 4.05              103.468
                1188                 3.52              291.052
                1189                 4.23              257.344
                1190                 4.23               99.135
                1191                 4.68              266.654
                1192                 3.61              151.698
                1193                 3.70              135.423
                1194                 4.68              270.793
                1195                 4.23               98.952
                1196                 4.05              262.773
                1197                 3.61              288.630
                1198                 4.14              101.070
                1199                 4.77              269.205
                1200                 3.96              107.194
                1201                 3.43              253.016
                1202                 4.41              260.486
                1203                 4.23               97.124
                1204                 4.50              262.670
                1205                 3.43              226.748
                1206                 3.87              109.672
                1207                 4.68              268.968
                1208                 4.14               99.590
                1209                 3.70              284.224
                1210                 3.96              271.078
                1211                 4.23               97.815
                1212                 4.68              272.672
                1213                 3.79              121.710
                1214                 3.52              165.260
                1215                 4.59              270.112
                1216                 4.23               96.175
                1217                 4.23              263.169
                1218                 3.52              288.672
                1219                 4.05              101.182
                1220                 4.77              264.919
                1221                 4.05              101.323
                1222                 3.52              285.067
                1223                 4.23              263.836
                1224                 4.23               95.143
                1225                 4.59              270.729
                1226                 3.52              168.789
                1227                 3.79              117.598
                1228                 4.68              272.257
                1229                 4.23               96.295
                1230                 3.96              275.562
                1231                 3.79              286.037
                1232                 4.14               96.605
                1233                 4.68              266.627
                1234                 3.87              106.914
                1235                 3.52              210.851
                1236                 4.50              269.772
                1237                 4.32               93.907
                1238                 4.41              267.805
                1239                 3.43              251.991
                1240                 3.96              101.889
                1241                 4.77              262.603
                1242                 4.14               97.091
                1243                 3.61              294.874
                1244                 4.05              273.092
                1245                 4.23               93.756
                1246                 4.68              272.393
                1247                 3.70              129.159
                1248                 3.70              135.481
                1249                 4.59              273.661
                1250                 4.32               93.201
                1251                 4.14              272.380
                1252                 3.61              293.705
                1253                 4.14               96.401
                1254                 4.77              259.431
                1255                 4.05               99.421
                1256                 3.43              260.114
                1257                 4.32              272.363
                1258                 4.32               92.110
                1259                 4.50              274.704
                1260                 3.52              191.979
                1261                 3.87              105.289
                1262                 4.68              264.804
                1263                 4.23               93.706
                1264                 3.79              289.575
                1265                 3.87              285.716
                1266                 4.23               92.888
                1267                 4.68              268.035
                1268                 3.87              108.276
                1269                 3.52              169.162
                1270                 4.50              276.310
                1271                 4.32               91.007
                1272                 4.23              274.526
                1273                 3.43              272.095
                1274                 4.05               95.975
                1275                 4.77              254.001
                1276                 4.14               94.781
                1277                 3.52              291.108
                1278                 4.14              277.823
                1279                 4.32               90.572
                1280                 4.59              276.593
                1281                 3.70              140.086
                1282                 3.79              114.938
                1283                 4.68              270.996
                1284                 4.32               90.757
                1285                 3.96              284.350
                1286                 3.61              295.890
                1287                 4.23               92.210
                1288                 4.77              255.947
                1289                 4.05               97.892
                1290                 3.52              218.943
                1291                 4.41              278.957
                1292                 4.41               88.633
                1293                 4.41              279.164
                1294                 3.52              217.473
                1295                 4.05               97.354
                1296                 4.77              254.427
                1297                 4.23               91.266
                1298                 3.61              297.029
                1299                 3.96              287.206
                1300                 4.32               89.400
                1301                 4.68              269.452
                1302                 3.79              111.030
                1303                 3.70              136.119
                1304                 4.59              276.796
                1305                 4.32               87.976
                1306                 4.14              283.369
                1307                 3.52              289.137
                1308                 4.23               91.325
                1309                 4.77              246.218
                1310                 4.14               92.714
                1311                 3.52              266.562
                1312                 4.23              283.299
                1313                 4.41               87.262
                1314                 4.50              280.179
                1315                 3.61              157.879
                1316                 3.96              101.538
                1317                 4.68              260.990
                1318                 4.32               88.375
                1319                 3.79              294.220
                1320                 3.79              297.040
                1321                 4.32               88.441
                1322                 4.77              254.126
                1323                 3.96               97.611
                1324                 3.61              174.165
                1325                 4.41              280.447
                1326                 4.41               86.236
                1327                 4.32              283.560
                1328                 3.52              243.808
                1329                 4.14               91.781
                1330                 4.77              242.896
                1331                 4.23               89.022
                1332                 3.52              294.404
                1333                 4.05              289.990
                1334                 4.41               86.037
                1335                 4.59              272.779
                1336                 3.79              118.218
                1337                 3.79              112.719
                1338                 4.59              269.100
                1339                 4.41               85.769
                1340                 3.96              291.218
                1341                 3.61              298.174
                1342                 4.23               87.467
                1343                 4.77              241.501
                1344                 4.14               90.950
                1345                 3.52              226.996
                1346                 4.32              286.498
                1347                 4.41               84.493
                1348                 4.41              284.128
                1349                 3.61              179.513
                1350                 4.05               93.389
                1351                 4.77              246.752
                1352                 4.32               86.131
                1353                 3.70              302.690
                1354                 3.87              298.409
                1355                 4.41               84.957
                1356                 4.68              257.502
                1357                 3.96               98.723
                1358                 3.70              137.638
                1359                 4.50              278.258
                1360                 4.41               83.661
                1361                 4.14              290.761
                1362                 3.52              268.125
                1363                 4.23               87.419
                1364                 4.77              232.435
                1365                 4.23               87.001
                1366                 3.52              274.165
                1367                 4.14              292.367
                1368                 4.41               83.054
                1369                 4.50              275.530
                1370                 3.70              128.946
                1371                 3.96               98.543
                1372                 4.68              256.644
                1373                 4.41               83.680
                1374                 3.87              300.712
                1375                 3.70              303.014
                1376                 4.32               84.235
                1377                 4.77              239.916
                1378                 4.14               89.582
                1379                 3.61              180.185
                1380                 4.41              284.456
                1381                 4.50               81.901
                1382                 4.32              288.279
                1383                 3.52              206.370
                1384                 4.14               87.634
                1385                 4.77              233.204
                1386                 4.32               84.063
                1387                 3.61              299.844
                1388                 3.96              299.509
                1389                 4.41               82.065
                1390                 4.68              258.576
                1391                 3.87              101.483
                1392                 3.87              111.290
                1393                 4.59              267.434
                1394                 4.50               81.338
                1395                 4.05              297.362
                1396                 3.52              285.779
                1397                 4.32               83.831
                1398                 4.77              225.890
                1399                 4.23               85.225
                1400                 3.52              234.427
                1401                 4.23              291.900
                1402                 4.50               80.666
                1403                 4.41              278.946
                1404                 3.70              145.860
                1405                 4.05               89.595
                1406                 4.77              239.574
                1407                 4.41               81.693
                1408                 3.79              304.506
                1409                 3.79              305.396
                1410                 4.41               81.397
                1411                 4.77              239.474
                1412                 4.05               89.381
                1413                 3.70              140.221
                1414                 4.41              276.224
                1415                 4.50               79.838
                1416                 4.23              291.867
                1417                 3.52              234.235
                1418                 4.23               83.390
                1419                 4.85              221.245
                1420                 4.32               82.186
                1421                 3.52              278.840
                1422                 4.05              298.964
                1423                 4.50               79.615
                1424                 4.59              263.310
                1425                 3.87              108.199
                1426                 3.96               96.086
                1427                 4.68              250.838
                1428                 4.50               79.577
                1429                 3.87              302.898
                1430                 3.61              298.938
                1431                 4.41               80.743
                1432                 4.77              223.863
                1433                 4.23               83.740
                1434                 3.61              186.871
                1435                 4.32              286.395
                1436                 4.50               78.236
                1437                 4.32              283.121
                1438                 3.61              167.744
                1439                 4.23               83.849
                1440                 4.77              225.670
                1441                 4.41               79.847
                1442                 3.61              301.577
                1443                 3.87              305.532
                1444                 4.50               78.768
                1445                 4.68              243.302
                1446                 4.05               90.561
                1447                 3.87              111.608
                1448                 4.50              263.291
                1449                 4.50               77.708
                1450                 4.05              297.395
                1451                 3.52              258.649
                1452                 4.32               80.119
                1453                 4.85              215.160
                1454                 4.32               80.506
                1455                 3.52              240.006
                1456                 4.14              294.927
                1457                 4.59               77.028
                1458                 4.50              267.215
                1459                 3.79              118.863
                1460                 4.14               86.467
                1461                 4.68              233.866
                1462                 4.50               77.872
                1463                 3.79              307.437
                1464                 3.70              305.245
                1465                 4.50               77.957
                1466                 4.77              224.639
                1467                 4.23               82.636
                1468                 3.70              143.893
                1469                 4.41              275.066
                1470                 4.59               76.378
                1471                 4.23              287.408
                1472                 3.61              194.922
                1473                 4.32               80.058
                1474                 4.85              213.814
                1475                 4.41               78.153
                1476                 3.61              284.029
                1477                 3.96              302.608
                1478                 4.59               76.173
                1479                 4.59              246.040
                1480                 3.96               93.454
                1481                 3.96               94.381
                1482                 4.59              246.601
                1483                 4.59               75.953
                1484                 3.96              302.226
                1485                 3.61              279.921
                1486                 4.41               77.472
                1487                 4.85              211.739
                1488                 4.32               79.042
                1489                 3.61              193.584
                1490                 4.23              285.990
                1491                 4.59               75.314
                1492                 4.41              270.752
                1493                 3.79              134.991
                1494                 4.23               80.989
                1495                 4.77              220.144
                1496                 4.50               76.263
                1497                 3.70              303.546
                1498                 3.79              306.276
                1499                 4.50               75.598
                1500                 4.77              225.106
                1501                 4.14               82.687
                1502                 3.87              113.153
                1503                 4.50              259.174
                1504                 4.59               74.715
                1505                 4.14              290.982
                1506                 3.61              222.905
                1507                 4.41               77.078
                1508                 4.85              207.505
                1509                 4.41               76.613
                1510                 3.61              247.672
                1511                 4.05              295.490
                1512                 4.59               74.415
                1513                 4.50              249.072
                1514                 3.96              100.055
                1515                 4.14               84.422
                1516                 4.68              229.963
                1517                 4.59               74.535
                1518                 3.87              303.567
                1519                 3.70              291.218
                1520                 4.50               75.199
                1521                 4.77              210.820
                1522                 4.32               77.848
                1523                 3.70              148.414
                1524                 4.32              272.150
                1525                 4.59               73.344
                1526                 4.32              273.866
                1527                 3.70              156.902
                1528                 4.32               77.181
                1529                 4.85              208.176
                1530                 4.50               74.764
                1531                 3.61              284.699
                1532                 3.87              302.294
                1533                 4.59               73.719
                1534                 4.68              229.283
                1535                 4.14               84.097
                1536                 3.96               93.647
                1537                 4.59              241.554
                1538                 4.59               73.049
                1539                 4.05              293.159
                1540                 3.61              248.269
                1541                 4.50               74.569
                1542                 4.85              204.022
                1543                 4.41               75.231
                1544                 3.70              199.515
                1545                 4.14              283.623
                1546                 4.68               72.394
                1547                 4.41              252.898
                1548                 3.87              110.722
                1549                 4.23               78.445
                1550                 4.77              215.738
                1551                 4.59               73.163
                1552                 3.79              299.291
                1553                 3.70              297.172
                1554                 4.59               73.088
                1555                 4.77              213.208
                1556                 4.32               77.042
                1557                 3.87              116.055
                1558                 4.41              255.208
                1559                 4.68               71.909
                1560                 4.14              276.917
                1561                 3.70              182.958
                1562                 4.41               74.383
                1563                 4.85              202.519
                1564                 4.50               73.374
                1565                 3.61              250.900
                1566                 3.96              293.197
                1567                 4.68               71.684
                1568                 4.59              233.045
                1569                 4.05               87.405
                1570                 4.14               83.080
                1571                 4.68              225.104
                1572                 4.68               71.514
                1573                 3.87              295.337
                1574                 3.70              266.588
                1575                 4.50               72.317
                1576                 4.85              202.606
                1577                 4.41               74.046
                1578                 3.79              154.869
                1579                 4.23              267.828
                1580                 4.68               71.056
                1581                 4.32              257.333
                1582                 3.87              126.338
                1583                 4.32               74.498
                1584                 4.77              205.938
                1585                 4.59               71.854
                1586                 3.70              284.178
                1587                 3.79              295.133
                1588                 4.59               71.046
                1589                 4.68              215.390
                1590                 4.23               77.596
                1591                 4.05               94.731
                1592                 4.50              238.149
                1593                 4.68               70.635
                1594                 4.05              281.284
                1595                 3.70              209.616
                1596                 4.50               72.174
                1597                 4.85              199.310
                1598                 4.50               72.098
                1599                 3.70              206.894
                1600                 4.05              279.464
                1601                 4.68               70.301
                1602                 4.50              237.051
                1603                 4.05               94.166
                1604                 4.23               76.404
                1605                 4.68              213.115
                1606                 4.68               70.370
                1607                 3.79              291.474
                1608                 3.70              278.948
                1609                 4.59               70.736
                1610                 4.77              204.318
                1611                 4.41               73.145
                1612                 3.87              120.266
                1613                 4.32              250.454
                1614                 4.68               69.582
                1615                 4.23              261.852
                1616                 3.79              147.487
                1617                 4.41               71.801
                1618                 4.85              199.350
                1619                 4.59               70.612
                1620                 3.70              253.225
                1621                 3.87              286.351
                1622                 4.68               69.689
                1623                 4.59              218.123
                1624                 4.23               79.387
                1625                 4.14               82.695
                1626                 4.59              223.612
                1627                 4.68               69.380
                1628                 3.96              283.310
                1629                 3.70              233.317
                1630                 4.59               70.261
                1631                 4.85              198.001
                1632                 4.50               70.965
                1633                 3.79              161.943
                1634                 4.14              262.812
                1635                 4.68               68.656
                1636                 4.41              241.397
                1637                 3.96              105.096
                1638                 4.41               72.541
                1639                 4.77              204.982
                1640                 4.68               69.239
                1641                 3.79              277.861
                1642                 3.79              281.907
                1643                 4.68               69.119
                1644                 4.77              205.967
                1645                 4.32               72.919
                1646                 4.05               97.308
                1647                 4.41              234.572
                1648                 4.77               68.183
                1649                 4.14              265.796
                1650                 3.79              171.763
                1651                 4.50               69.840
                1652                 4.85              196.744
                1653                 4.59               69.443
                1654                 3.70              210.081
                1655                 4.05              273.892
                1656                 4.68               68.002
                1657                 4.59              222.364
                1658                 4.14               83.528
                1659                 4.32               75.463
                1660                 4.68              212.301
                1661                 4.68               68.194
                1662                 3.87              280.493
                1663                 3.70              248.785
                1664                 4.68               68.417
                1665                 4.77              199.873
                1666                 4.50               70.049
                1667                 3.87              125.363
                1668                 4.32              247.164
                1669                 4.77               67.575
                1670                 4.32              245.856
                1671                 3.96              120.366
                1672                 4.50               69.922
                1673                 4.77              200.363
                1674                 4.68               68.130
                1675                 3.79              250.196
                1676                 3.87              277.238
                1677                 4.68               67.579
                1678                 4.68              210.266
                1679                 4.32               74.097
                1680                 4.14               83.550
                1681                 4.50              222.398
                1682                 4.77               67.219
                1683                 4.05              268.179
                1684                 3.79              195.716
                1685                 4.59               68.250
                1686                 4.77              196.948
                1687                 4.59               68.377
                1688                 3.79              167.348
                1689                 4.14              259.965
                1690                 4.77               66.964
                1691                 4.41              227.480
                1692                 4.14               90.725
                1693                 4.41               71.384
                1694                 4.68              205.827
                1695                 4.68               67.103
                1696                 3.87              267.455
                1697                 3.79              259.130
                1698                 4.68               67.220
                1699                 4.77              201.528
                1700                 4.41               69.589
                1701                 4.05              101.419
                1702                 4.41              233.351
                1703                 4.77               66.536
                1704                 4.23              250.018
                1705                 3.87              140.034
                1706                 4.59               67.866
                1707                 4.77              198.505
                1708                 4.68               67.057
                1709                 3.79              213.291
                1710                 3.96              267.659
                1711                 4.77               66.392
                1712                 4.59              214.911
                1713                 4.32               76.482
                1714                 4.32               75.692
                1715                 4.59              213.814
                1716                 4.77               66.251
                1717                 3.96              266.890
                1718                 3.79              215.697
                1719                 4.68               66.738
                1720                 4.77              198.972
                1721                 4.59               67.486
                1722                 3.96              132.057
                1723                 4.23              246.240
                1724                 4.77               65.860
                1725                 4.32              233.550
                1726                 4.05              102.240
                1727                 4.50               68.637
                1728                 4.68              201.921
                1729                 4.68               66.117
                1730                 3.79              244.425
                1731                 3.87              260.244
                1732                 4.77               65.794
                1733                 4.68              206.116
                1734                 4.41               70.411
                1735                 4.14               85.900
                1736                 4.41              223.139
                1737                 4.77               65.509
                1738                 4.14              253.105
                1739                 3.87              161.654
                1740                 4.59               66.416
                1741                 4.77              198.575
                1742                 4.68               66.055
                1743                 3.87              173.256
                1744                 4.05              256.133
                1745                 4.77               65.293
                1746                 4.50              220.116
                1747                 4.23               82.012
                1748                 4.41               71.067
                1749                 4.59              208.447
                1750                 4.77               65.307
                1751                 3.87              256.935
                1752                 3.87              228.631
                1753                 4.68               65.392
                1754                 4.68              202.258
                1755                 4.50               67.239
                1756                 4.05              106.841
                1757                 4.32              234.603
                1758                 4.77               64.751
                1759                 4.23              239.494
                1760                 4.05              117.114
                1761                 4.59               66.611
                1762                 4.68              201.519
                1763                 4.68               65.252
                1764                 3.87              211.921
                1765                 3.96              255.666
                1766                 4.77               64.814
                1767                 4.59              211.244
                1768                 4.41               72.283
                1769                 4.32               77.297
                1770                 4.50              217.101
                1771                 4.77               64.551
                1772                 4.05              253.251
                1773                 3.87              181.453
                1774                 4.68               65.190
                1775                 4.68              201.313
                1776                 4.59               65.572
                1777                 3.96              138.699
                1778                 4.14              245.393
                1779                 4.77               64.139
                1780                 4.32              225.723
                1781                 4.23               89.907
                1782                 4.50               68.091
                1783                 4.59              206.405
                1784                 4.77               64.404
                1785                 3.87              237.058
                1786                 3.87              236.008
                1787                 4.77               64.326
                1788                 4.59              206.846
                1789                 4.50               67.895
                1790                 4.23               90.215
                1791                 4.32              226.591
                1792                 4.77               63.739
                1793                 4.14              243.826
                1794                 3.96              134.212
                1795                 4.59               65.026
                1796                 4.68              203.020
                1797                 4.68               64.551
                1798                 3.96              175.135
                1799                 4.05              248.390
                1800                 4.77               63.701
                1801                 4.50              216.985
                1802                 4.32               76.504
                1803                 4.41               72.049
                1804                 4.50              214.012
                1805                 4.77               63.698
                1806                 3.96              245.895
                1807                 3.87              195.964
                1808                 4.68               63.844
                1809                 4.59              205.138
                1810                 4.59               65.544
                1811                 4.05              112.688
                1812                 4.23              236.759
                1813                 4.85               63.130
                1814                 4.23              232.787
                1815                 4.14              102.193
                1816                 4.59               66.028
                1817                 4.59              207.645
                1818                 4.77               63.573
                1819                 3.96              206.862
                1820                 3.96              237.235
                1821                 4.77               63.367
                1822                 4.50              213.231
                1823                 4.50               69.545
                1824                 4.32               80.716
                1825                 4.41              222.388
                1826                 4.77               62.898
                1827                 4.05              243.452
                1828                 3.96              151.655
                1829                 4.68               64.038
                1830                 4.59              207.152
                1831                 4.68               64.123
                1832                 4.05              143.415
                1833                 4.05              241.233
                1834                 4.77               62.655
                1835                 4.32              224.948
                1836                 4.32               83.232
                1837                 4.50               68.825
                1838                 4.50              214.068
                1839                 4.77               62.981
                1840                 3.96              227.224
                1841                 3.96              206.791
                1842                 4.77               63.048
                1843                 4.50              211.417
                1844                 4.59               66.206
                1845                 4.23               96.387
                1846                 4.23              231.655
                1847                 4.85               62.349
                1848                 4.14              237.061
                1849                 4.14              116.096
                1850                 4.59               64.572
                1851                 4.50              210.463
                1852                 4.68               62.968
                1853                 3.96              174.785
                1854                 4.05              233.795
                1855                 4.77               62.426
                1856                 4.41              220.659
                1857                 4.41               73.644
                1858                 4.41               74.981
                1859                 4.41              221.449
                1860                 4.77               62.283
                1861                 4.05              234.061
                1862                 4.05              165.876
                1863                 4.68               62.971
                1864                 4.50              213.179
                1865                 4.68               64.177
                1866                 4.14              119.566
                1867                 4.14              236.655
                1868                 4.85               61.885
                1869                 4.23              231.570
                1870                 4.23               92.996
                1871                 4.59               66.753
                1872                 4.41              216.429
                1873                 4.77               62.470
                1874                 3.96              198.864
                1875                 3.96              209.670
                1876                 4.77               62.324
                1877                 4.41              219.519
                1878                 4.50               68.580
                1879                 4.32               86.348
                1880                 4.23              229.365
                1881                 4.77               61.740
                1882                 4.05              233.420
                1883                 4.14              130.014
                1884                 4.68               63.821
                1885                 4.41              216.344
                1886                 4.68               63.282
                1887                 4.05              145.628
                1888                 4.05              230.410
                1889                 4.77               61.759
                1890                 4.32              227.114
                1891                 4.41               79.939
                1892                 4.50               71.754
                1893                 4.32              224.118
                1894                 4.77               61.979
                1895                 4.05              213.765
                1896                 4.05              175.538
                1897                 4.77               62.344
                1898                 4.41              220.728
                1899                 4.59               66.030
                1900                 4.23              103.548
                1901                 4.14              232.568
                1902                 4.77               61.509
                1903                 4.14              232.458
                1904                 4.23              104.773
                1905                 4.59               66.068
                1906                 4.32              221.682
                1907                 4.68               62.365
                1908                 4.05              169.270
                1909                 4.05              209.003
                1910                 4.77               61.904
                1911                 4.32              226.515
                1912                 4.50               73.268
                1913                 4.41               80.829
                1914                 4.23              229.801
                1915                 4.77               61.700
                1916                 4.05              219.574
                1917                 4.14              141.228
                1918                 4.68               63.669
                1919                 4.32              224.655
                1920                 4.68               64.533
                1921                 4.14              123.373
                1922                 4.14              222.606
                1923                 4.77               61.655
                1924                 4.14              229.346
                1925                 4.32               89.475
                1926                 4.50               70.813
                1927                 4.23              227.254
                1928                 4.77               62.215
                1929                 4.05              184.389
                1930                 4.05              176.410
                1931                 4.68               62.411
                1932                 4.23              227.676
                1933                 4.50               69.902
                1934                 4.32               94.436
                1935                 4.14              227.527
                1936                 4.77               61.846
                1937                 4.14              219.016
                1938                 4.23              115.825
                1939                 4.59               66.599
                1940                 4.23              227.785
                1941                 4.68               64.387
                1942                 4.14              142.275
                1943                 4.05              199.297
                1944                 4.77               62.257
                1945                 4.14              226.688
                1946                 4.41               81.688
                1947                 4.41               79.318
                1948                 4.14              226.212
                1949                 4.68               62.619
                1950                 4.14              189.739
                1951                 4.14              145.393
                1952                 4.68               64.946
                1953                 4.23              226.870
                1954                 4.59               69.292
                1955                 4.23              109.595
                1956                 4.14              209.798
                1957                 4.68               62.814
                1958                 4.14              214.101
                1959                 4.32              100.558
                1960                 4.50               72.918
                1961                 4.14              223.644
                1962                 4.68               65.395
                1963                 4.14              152.729
                1964                 4.14              167.892
                1965                 4.68               65.071
                1966                 4.14              219.506
                1967                 4.50               79.002
                1968                 4.41               91.644
                1969                 4.14              209.872
                1970                 4.68               65.064
                1971                 4.14              184.927
                1972                 4.23              122.098
                1973                 4.59               71.094
                1974                 4.14              215.192
                1975                 4.59               71.532
                1976                 4.23              122.269
                1977                 4.14              176.204
                1978                 4.59               67.123
                1979                 4.14              196.501
                1980                 4.41               94.239
                1981                 4.41               84.891
                1982                 4.14              198.341
                1983                 4.59               70.690
                1984                 4.23              148.670
                1985                 4.23              136.375
                1986                 4.50               73.796
                1987                 4.14              189.802
                1988                 4.41               83.995
                1989                 4.32              105.969
                1990                 4.14              164.757
                1991                 4.50               75.102
                1992                 4.23              155.893
                1993                 4.32              110.444
                1994                 4.41               88.722
                1995                 4.23              161.175
                1996                 4.41               87.065
                1997                 4.32              120.095
                1998                 4.23              127.432
                1999                 4.41               94.230
                2000                 4.23              125.661
--------------------------------------------------------------
          Minimum =                  3.43                59.22
          Maximun =                  4.85               308.30
          Average =                  4.25               168.18
          Std dev =                  0.38                79.76

            Sigma =                  4.25  +/- 0.38 A   
          Epsilon =                168.18  +/- 79.76 cm-1
