     Orientation no.            sigma (A)       epsilon (cm-1)
                 245                 4.68               66.516
                 246                 4.23              288.937
                 247                 4.50               68.776
                 248                 4.14              107.338
                 249                 4.23              244.997
                 250                 4.77               66.622
                 251                 4.23              241.641
                 252                 4.05              134.495
                 253                 4.59               67.700
                 254                 4.23              298.054
                 255                 4.68               66.964
                 256                 3.96              206.270
                 257                 4.05              242.775
                 258                 4.77               66.776
                 259                 4.32              259.096
                 260                 4.32               77.472
                 261                 4.32               79.489
                 262                 4.32              255.442
                 263                 4.77               66.957
                 264                 4.05              241.989
                 265                 3.87              202.980
                 266                 4.68               67.292
                 267                 4.32              298.598
                 268                 4.59               68.143
                 269                 3.96              148.580
                 270                 4.23              238.404
                 271                 4.77               67.311
                 272                 4.32              239.705
                 273                 4.14              106.893
                 274                 4.50               70.397
                 275                 4.32              280.250
                 276                 4.68               67.753
                 277                 3.96              236.318
                 278                 3.96              240.282
                 279                 4.68               67.827
                 280                 4.32              271.352
                 281                 4.41               72.477
                 282                 4.14               98.422
                 283                 4.32              239.595
                 284                 4.77               67.696
                 285                 4.23              236.180
                 286                 3.96              171.893
                 287                 4.59               68.709
                 288                 4.32              299.930
                 289                 4.59               68.581
                 290                 3.87              198.051
                 291                 4.14              237.545
                 292                 4.68               68.065
                 293                 4.41              241.555
                 294                 4.23               88.433
                 295                 4.32               76.706
                 296                 4.41              255.986
                 297                 4.68               68.508
                 298                 4.05              241.383
                 299                 3.87              230.887
                 300                 4.68               68.552
                 301                 4.32              285.166
                 302                 4.50               70.613
                 303                 3.96              134.343
                 304                 4.32              231.021
                 305                 4.68               68.519
                 306                 4.32              230.685
                 307                 3.96              137.086
                 308                 4.50               70.823
                 309                 4.41              284.528
                 310                 4.59               69.070
                 311                 3.87              233.075
                 312                 4.05              240.155
                 313                 4.68               69.184
                 314                 4.41              252.307
                 315                 4.32               78.476
                 316                 4.14               90.443
                 317                 4.41              237.121
                 318                 4.68               69.295
                 319                 4.23              233.020
                 320                 3.87              210.325
                 321                 4.59               69.942
                 322                 4.41              295.332
                 323                 4.50               70.361
                 324                 3.87              185.164
                 325                 4.32              228.144
                 326                 4.68               69.590
                 327                 4.41              229.350
                 328                 4.05              107.410
                 329                 4.32               75.008
                 330                 4.41              261.337
                 331                 4.68               69.838
                 332                 3.96              240.938
                 333                 3.96              242.353
                 334                 4.59               70.002
                 335                 4.41              268.206
                 336                 4.41               74.110
                 337                 4.05              119.500
                 338                 4.41              225.065
                 339                 4.68               70.160
                 340                 4.32              224.875
                 341                 3.87              175.360
                 342                 4.50               71.712
                 343                 4.41              290.711
                 344                 4.59               70.865
                 345                 3.87              228.217
                 346                 4.23              231.419
                 347                 4.68               70.553
                 348                 4.50              234.943
                 349                 4.14               88.652
                 350                 4.23               85.124
                 351                 4.50              238.294
                 352                 4.68               70.734
                 353                 4.14              233.575
                 354                 3.87              236.097
                 355                 4.59               71.327
                 356                 4.41              284.659
                 357                 4.41               72.707
                 358                 3.87              168.291
                 359                 4.41              221.051
                 360                 4.68               71.070
                 361                 4.50              219.568
                 362                 3.96              136.384
                 363                 4.41               74.762
                 364                 4.50              269.156
                 365                 4.59               71.731
                 366                 3.96              243.259
                 367                 4.05              238.805
                 368                 4.59               71.622
                 369                 4.50              248.938
                 370                 4.23               79.474
                 371                 4.05              107.538
                 372                 4.50              222.428
                 373                 4.68               71.592
                 374                 4.32              222.974
                 375                 3.79              212.156
                 376                 4.50               72.952
                 377                 4.50              290.307
                 378                 4.50               73.000
                 379                 3.79              217.529
                 380                 4.32              222.891
                 381                 4.68               71.887
                 382                 4.50              221.023
                 383                 4.05              106.526
                 384                 4.23               81.857
                 385                 4.50              242.649
                 386                 4.59               72.573
                 387                 4.14              235.488
                 388                 3.96              243.861
                 389                 4.59               72.808
                 390                 4.50              268.909
                 391                 4.32               76.186
                 392                 3.87              149.486
                 393                 4.50              215.334
                 394                 4.68               72.417
                 395                 4.50              214.917
                 396                 3.87              173.970
                 397                 4.41               75.387
                 398                 4.50              278.793
                 399                 4.50               73.582
                 400                 3.87              243.951
                 401                 4.23              228.926
                 402                 4.59               73.310
                 403                 4.59              231.012
                 404                 4.14               89.372
                 405                 4.05               97.738
                 406                 4.59              223.272
                 407                 4.59               73.476
                 408                 4.32              222.977
                 409                 3.79              237.888
                 410                 4.50               74.445
                 411                 4.50              285.447
                 412                 4.41               75.564
                 413                 3.79              203.344
                 414                 4.41              214.108
                 415                 4.59               73.734
                 416                 4.59              213.004
                 417                 3.87              134.019
                 418                 4.23               80.099
                 419                 4.59              252.237
                 420                 4.50               74.209
                 421                 4.05              240.290
                 422                 4.05              239.338
                 423                 4.59               74.339
                 424                 4.59              249.030
                 425                 4.23               81.623
                 426                 3.87              130.979
                 427                 4.59              212.240
                 428                 4.59               74.503
                 429                 4.41              212.889
                 430                 3.79              213.588
                 431                 4.41               76.548
                 432                 4.50              284.041
                 433                 4.41               75.628
                 434                 3.79              240.784
                 435                 4.32              219.525
                 436                 4.59               75.015
                 437                 4.59              216.648
                 438                 4.05              105.016
                 439                 4.14               91.316
                 440                 4.59              226.913
                 441                 4.59               75.251
                 442                 4.23              226.896
                 443                 3.87              247.037
                 444                 4.50               76.112
                 445                 4.59              270.871
                 446                 4.32               78.999
                 447                 3.79              183.717
                 448                 4.59              208.058
                 449                 4.59               75.621
                 450                 4.59              208.315
                 451                 3.79              171.858
                 452                 4.32               80.018
                 453                 4.59              264.351
                 454                 4.50               76.623
